cls,label,area_patches,score
IRF,0,0.0,0.0007588148
IRF,0,0.0,0.005247927
IRF,0,0.0,0.0076390267
IRF,0,0.0,0.008541679
IRF,0,0.0,0.008040046
IRF,0,0.0,0.0065901754
IRF,0,0.0,0.008046722
IRF,0,0.0,0.009914589
IRF,0,0.0,0.016361237
IRF,0,0.0,0.0119075775
IRF,0,0.0,0.01916542
IRF,0,0.0,0.00049040315
IRF,0,0.0,0.017005157
IRF,0,0.0,0.003683281
IRF,0,0.0,0.009370804
IRF,0,0.0,0.0046167374
IRF,0,0.0,0.0076194764
IRF,0,0.0,0.010715485
IRF,0,0.0,0.009707642
IRF,0,0.0,0.00942955
IRF,0,0.0,0.011067962
IRF,0,0.0,0.00082483294
IRF,0,0.0,0.0015721798
IRF,0,0.0,0.002364397
IRF,0,0.0,0.0042440416
IRF,0,0.0,0.003430748
IRF,0,0.0,0.0030109882
IRF,0,0.0,0.003034091
IRF,0,0.0,0.002218771
IRF,0,0.0,0.012602615
IRF,0,0.0,0.02654953
IRF,0,0.0,0.093754575
IRF,0,0.0,0.1515503
IRF,0,0.0,0.5042969
IRF,0,0.0,0.8510742
IRF,0,0.0,0.9716797
IRF,0,0.0,0.9569336
IRF,0,0.0,0.9446289
IRF,0,0.0,0.9884766
IRF,0,0.0,0.0022993088
IRF,0,0.0,0.9707031
IRF,0,0.0,0.98896486
IRF,1,0.6931486611265005,0.9405273
IRF,1,1.884893813481071,0.9734375
IRF,1,4.95067405355494,0.9959961
IRF,1,7.075364727608495,0.9980469
IRF,1,7.664450600184672,0.99794924
IRF,1,8.638116343490305,0.99794924
IRF,0,0.0,0.0027070045
IRF,1,9.582825484764543,0.99785155
IRF,0,0.0,0.0018307685
IRF,0,0.0,0.0027037144
IRF,0,0.0,0.0026352406
IRF,0,0.0,0.0034580708
IRF,0,0.0,0.004927063
IRF,0,0.0,0.007790947
IRF,0,0.0,0.02421112
IRF,0,0.0,0.11192016
IRF,0,0.0,0.10199203
IRF,0,0.0,0.06270256
IRF,0,0.0,0.060087584
IRF,0,0.0,0.038655855
IRF,0,0.0,0.044392396
IRF,0,0.0,0.031837083
IRF,0,0.0,0.045114897
IRF,0,0.0,0.040812682
IRF,0,0.0,0.03482666
IRF,0,0.0,0.049517058
IRF,0,0.0,0.047027588
IRF,0,0.0,0.05404816
IRF,0,0.0,0.045268632
IRF,0,0.0,0.04691696
IRF,0,0.0,0.034184266
IRF,0,0.0,0.10359573
IRF,0,0.0,0.06865616
IRF,0,0.0,0.0022700788
IRF,0,0.0,0.0024518967
IRF,0,0.0,0.0036481856
IRF,0,0.0,0.0038097382
IRF,0,0.0,0.00879097
IRF,0,0.0,0.008550644
IRF,0,0.0,0.007871628
IRF,0,0.0,0.0097435
IRF,0,0.0,0.008975601
IRF,0,0.0,0.006142807
IRF,0,0.0,0.004653168
IRF,0,0.0,0.0062791347
IRF,0,0.0,0.0032255172
IRF,0,0.0,0.0030216216
IRF,0,0.0,0.0028650283
IRF,0,0.0,0.0030464171
IRF,0,0.0,0.005437088
IRF,0,0.0,0.0042461394
IRF,0,0.0,0.0047042845
IRF,0,0.0,0.003850174
IRF,0,0.0,0.008784103
IRF,0,0.0,0.003624153
IRF,0,0.0,0.007603121
IRF,0,0.0,0.0026410103
IRF,0,0.0,0.0010786295
IRF,0,0.0,0.0072798254
IRF,0,0.0,0.0021427392
IRF,0,0.0,0.0014687777
IRF,0,0.0,0.0008182049
IRF,0,0.0,0.0016077042
